id;code_etablissement;bic
199;13400;FRAEFR21XXX
200;13408;EUCUFRP1XXX
201;13428;CRESFRPZXXX
202;13473;GASEFRP1XXX
203;13485;CEPAFRPP348
204;13488;BLICMCMCXXX
205;13489;BNUGFR21
206;13490;CEEXFRP1XXX
207;13506;AGRIFRPP835
208;13507;CCBPFRPPLIL
209;13528;UNCRFRPPXXX
210;13529;BPELFR2YXXX
211;13538;FNIFFR21XXX
212;13539;BPETFRP1XXX
213;13540;FMSHFRP1XXX
214;13543;SLIIFRCCXXX
215;13553;ODDOFRPPOOP
216;13558;AUXFFRP1
217;13579;BSAOFR21XXX
218;13580;FACFFRPP
219;13606;AGRIFRPP836
220;13607;CCBPFRPPNIO
221;13648;BOFSFRP1XXX
222;13678;IFFIFR21XXX
223;13688;ISBKFRPPXXX
224;13698;ESFTFR21XXX
225;13728;COIPFRP1XXX
226;13758;PRRSFRP1XXX
227;13769;SGDCFRP1XXX
228;13773;INUUFRP1XXX
229;13788;IDIFFRP1XXX
230;13798;CAOOFR21XXX
231;13807;CCBPFRPPNAN
232;13825;CEPAFRPP382
233;13838;CNCUFRP1XXX
234;13858;LOFIFRP1XXX
235;13878;TKGTFR21XXX
236;13880;OSBEFR21XXX
237;13888;ELFAFRP1XXX
238;13906;AGRIFRPP839
239;13907;CCBPFRPPLYO
240;13928;CAFOFRP1XXX
241;13953;GLEQFRP1XXX
242;13959;AASFFRP1XXX
243;13968;UCENFRP1XXX
244;13973;POWNFRP1XXX
245;13998;SDFFFRP1XXX
246;14006;AGRIGPGX
247;14008;FIPPFRP1XXX
248;14018;NOFAFRP1XXX
249;14020;AUOOFR21XXX
250;14040;GOLDFRP1XXX
251;14048;CRESMCMXXXX
252;14078;CCMEFR21XXX
253;14108;JODCFR21
254;14110;PIFIFRP1XXX
255;14120;LEGRFRP1XXX
256;14139;NBPAFRPPXXX
257;14148;EHYPFRP1XXX
258;14150;ROBOFRP1XXX
259;14158;CEFNNCN1
260;14168;OFTPPFT1XXX
261;14173;RJEEFRP1
262;14178;DERAFRP1XXX
263;14198;SORAFR21XXX
264;14206;EUFAFRP1XXX
265;14218;CLAAFRP1XXX
266;14228;SGFIFR21XXX
267;14238;NOUCNCN1XXX
268;14265;CEPAFRPP426
269;14288;RBFAFRP1XXX
270;14318;BRGEFRPPXXX
271;14328;SEGFFRP1XXX
272;14378;SFPMFRP1XXX
273;14380;FACEFR21XXX
274;14388;DXMAFRPPXXX
275;14398;HSLFFRP1XXX
276;14406;AGRIFRPP844
277;14408;HRELFRP1XXX
278;14410;DEFOFRP1XXX
279;14445;CEPAFRPP444
280;14448;CFODFR21XXX
281;14478;MMSEMCM1XXX
282;14500;PORZFR21XXX
283;14505;CEPAFRPP450
284;14506;AGRIFRPP845
285;14508;BAERMCMCXXX
286;14518;FTNOFRP1XXX
287;14543;NCSOFRP1XXX
288;14559;IIDFFR21XXX
289;14568;HANDFRPPXXX
290;14578;ALSOFR21XXX
291;14588;CONUFR21XXX
292;14590;COGRFR21XXX
293;14607;CCBPFRPPMAR
294;14628;GRCSFRP1XXX
295;14643;HEGVFRP1XXX
296;14648;CAAIFR21XXX
297;14658;CIERFRP1XXX
298;14670;BMFCFR21XXX
299;14688;STLEFRP1XXX
300;14690;MONNFR22
301;14698;COUTMCM1XXX
302;14706;AGRIFRPP847
303;14707;CCBPFRPPMTZ
304;14738;WHWAFR21XXX
305;14749;SFBSFRP1XXX
306;14753;MLNAFRP1XXX
307;14758;CRLLFRP1
308;14768;CADFFRP1XXX
309;14773;EUOCFRP1XXX
310;14798;CMBRFR2BEFI
311;14800;UNFCFRP1XXX
312;14806;AGRIFRPP848
313;14818;BREUFR22
314;14820;DUBUFR2LXXX
315;14830;SBGDFRP1XXX
316;14848;FPSSNCN1XXX
317;14858;HYPFFRP1XXX
318;14860;CMCIFRPBXXX
319;14869;RPLAFRPP
320;14879;BKIDFRPPXXX
321;14888;FNNOFRP1XXX
322;14889;CEPANCNMXXX
323;14908;POSOMCM1XXX
324;14918;DEPAFRP1XXX
325;14928;SFPTFR21XXX
326;14940;CFFIFR2LXXX
327;14948;INRPFRP1
328;14958;SFSSFR21XXX
329;14989;KOEXFRPPXXX
330;14998;DOMFFRP1XXX
331;15000;XPARFRPPXXX
332;15008;JYSKFR21XXX
333;15068;PICTFRPPXXX
334;15078;MFFMFR21XXX
335;15128;VOWAFR21XXX
336;15135;CEPAFRPP513
337;15138;OCFOPFT1XXX
338;15149;CFCLFR21XXX
339;15153;RAJIFRP1XXX
340;15160;MSEGFRP1XXX
341;15168;CRFAFRP1XXX
342;15173;CCTEFRP1
343;15178;SOGDPFT1XXX
344;15208;CRMPFRP1XXX
345;15218;BIFAFR21XXX
346;15228;SOAIMQM1XXX
347;15243;ISNTFRP1XXX
348;15250;SMBCFRPPXXX
349;15258;GOIRFRP1XXX
350;15273;GRERFRP1XXX
351;15278;CRAFFRP1XXX
352;15298;DISFFRPPXXX
353;15338;DISSFR21XXX
354;15348;CMARFR21XXX
355;15358;CMDMGPG1XXX
356;15373;ARFCFRP1XXX
357;15378;KOFFFRP1XXX
358;15380;COANFRP1XXX
359;15389;CANUFRP1XXX
360;15408;FAMSFRPPXXX
361;15409;SCFEFR21XXX
362;15428;KREDFRPPXXX
363;15429;CMUTFR21BCH
364;15448;CNFSFR21XXX
365;15449;CBCRFR21XXX
366;15459;CMCIFR2ACMC
367;15488;PROJFRP1XXX
368;15489;CMCIFR2ALAV
369;15498;MFSAFR21XXX
370;15508;AUDIMCMCXXX
371;15518;IGREFRP1XXX
372;15519;CMCIFR2ACMO
373;15528;LOYDFRPPXXX
374;15543;MAUOFRP1XXX
375;15548;PRROFR21XXX
376;15549;CMCIFR21LRY
377;15558;FOMIFRP1XXX
378;15568;CRFFFRP1XXX
379;15573;AXEEFRP1XXX
380;15589;CMBRFR2BXXX
381;15590;FCFSFRP1XXX
382;15607;CCBPFRPPNCE
383;15608;PHNEFRP1XXX
384;15610;SGFAGPG1XXX
385;15628;MICSFR21XXX
386;15629;CMCIFR2ACMN
387;15638;BACAMCMCXXX
388;15648;DLFSFR21
389;15658;MOFAFRP1XXX
390;15668;BPCDFRP1XXX
391;15673;AGRIFRPP907
392;15708;RIFRFR21XXX
393;15728;SEFAFR21XXX
394;15749;CMCIFR2ANAN
395;15798;FBNIFRP1XXX
396;15818;BIKCFRP1XXX
397;15829;CMCIFR2AANG
398;15830;NOVCFRP1XXX
399;15843;HLHZFRP1XXX
400;15848;CMCIFRP1COV
401;15858;COEFFRP1XXX
402;15868;SXFRFRP1
403;15878;SGREFR21
404;15898;CAODFRP1
405;15899;CMCIFR2AVAL
406;15900;FEFIFR21XXX
407;15908;ROYCGB22
408;15920;MRLAFRP1XXX
409;15928;USSSFRP1XXX
410;15930;NATXFRPPPAI
411;15938;OBPSFRP1XXX
412;15958;BPCBFRP1XXX
413;15959;CMCIFR2ACAE
414;15960;MAFIFRP1XXX
415;15970;BATLFR21XXX
416;15973;HETAFRP1XXX
417;15980;BAEPFR21XXX
418;15998;GCEUFR21XXX
419;16000;DIACFR21XXX
420;16006;AGRIFRPP860
421;16020;BATMFRP1XXX
422;16030;IBFFFR21XXX
423;16038;HAVLMCMXXXX
424;16048;ECOCFRPP
425;16050;BAOIFR21XXX
426;16073;CMCIFRP1EPS
427;16078;BNPAFRPPPBQ
428;16088;CMBRFR2BARK
429;16100;CCMUFR21XXX
430;16106;AGRIFRPP861
431;16130;SIRCFR21XXX
432;16158;BGFIFRPPXXX
433;16159;CMCIMQM1XXX
434;16160;AACBFR21XXX
435;16168;AFRIFRPP
436;16170;CMUBFR21XXX
437;16178;BPFIFRP1XXX
438;16179;CMCIFR21LAC
439;16180;BAOEFR21XXX
440;16188;BPCEFRPPXXX
441;16190;FRUTFRP1XXX
442;16198;EFGBFRPP
443;16200;CCUIFR21XXX
444;16218;BFBKFRP1XXX
445;16238;HLBPFRPPXXX
446;16243;GFIGFRP1XXX
447;16248;HLCEFRPPXXX
448;16253;ORFIFRP1XXX
449;16270;CONGFR21XXX
450;16273;FEPSFRP1XXX
451;16275;CEPAFRPP627
452;16278;NAMIFRP1XXX
453;16288;AQOBFRP1XXX
454;16338;AFOPFR21XXX
455;16343;MCPPFRP1XXX
456;16348;SLMPFRP1
457;16373;PEGSFR21XXX
458;16418;TFRSFRP1
459;16428;BUYSFRP1
460;16443;ECFSFRP1
461;16473;REGRFRP1XXX
462;16498;COLQFR21
463;16518;FDFRFR22
464;16553;HFPFFRP1XXX
465;16560;CCMOFR21XXX
466;16600;CCTCNCN1XXX
467;16606;AGRIFRPP866
468;16607;CCBPFRPPPPG
469;16640;CRFLFR21XXX
470;16643;BLIAFR21XXX
471;16673;FOGFFRP1XXX
472;16700;CICAFRP1XXX
473;16705;CEPAFRPP670
474;16706;AGRIFRPP867
475;16707;CCBPFRPPREN
476;16750;UNMMFR21
477;16760;FRANFR21
478;16773;LOCYFRP1XXX
479;16780;NAFNFRP1XXX
480;16806;AGRIFRPP868
481;16807;CCBPFRPPGRE
482;16820;AECFFR21XXX
483;16830;GENCFR21XXX
484;16839;FINFFR21XXX
485;16840;BPGEMCMCXXX
486;16843;KGLMFRP1XXX
487;16850;AGRIFRP1EFG
488;16870;NOFIFR21XXX
489;16873;DRAHFRP1XXX
490;16906;AGRIFRPP869
491;16943;COTOFRP1XXX
492;16973;GISGFRP1XXX
493;16979;TREFFRP1XXX
494;16989;CAVNFR21XXX
495;17060;COGDFRP1XXX
496;17070;INELFRP1XXX
497;17100;CCUSFR21XXX
498;17106;AGRIFRPP871
499;17123;IKBDFRPPXXX
500;17149;CCBPFRPP149
501;17150;CCUTFR21XXX
502;17153;BDIRFRPPXXX
503;17169;CCBPFRPP169
504;17173;VITDFRP1XXX
505;17179;CMMMFR21XXX
506;17200;INREFR21XXX
507;17206;AGRIFRPP872
508;17219;CCBPFRPP219
509;17230;CMCIFRP1VIO
510;17273;SECNFRP1
511;17279;CCBPFRPPMRT
512;17290;CLFRFRPPXXX
513;17353;PAFCFRP1XXX
514;17373;AXIGFRP1XXX
515;17429;CCAENCN1XXX
516;17439;SODIRER1XXX
517;17453;JBBRFRPPXXX
518;17469;SOCBPFTXXXX
519;17473;ARFNFRP1XXX
520;17479;CIPMPMP1XXX
521;17499;BCADNCNNXXX
522;17510;CRTAFR21XXX
523;17515;CEPAFRPP751
524;17519;BACPFRPPXXX
525;17529;SFFTFRP1XXX
526;17549;NATRFR21XXX
527;17569;CMBMMCMXXXX
528;17599;BLOMFRPPXXX
529;17607;CCBPFRPPSTR
530;17619;BEMOFRPPXXX
531;17620;CCMNFR21XXX
532;17629;COBAFRPXXXX
533;17649;REVIFRPPXXX
534;17660;GENFFRP1XXX
535;17679;SBEXFRP1XXX
536;17779;SBAAFRPPXXX
537;17789;DEUTFRPPXXX
538;17806;AGRIFRPP878
539;17807;CCBPFRPPTLS
540;17839;GMACFR21XXX
541;17863;HRENFRP1XXX
542;17869;CCBIFRP1XXX
543;17873;EXOEFRP1XXX
544;17906;AGRIFRPP879
545;17919;QNBAFRPPXXX
546;17939;BNPANCNXXXX
547;17943;MLPMFRP1
548;17959;BAMYFR22XXX
549;17973;EXADFRP1XXX
550;17979;ARABFRPPXXX
551;17989;NBADFRPPXXX
552;18000;COOFFRP1XXX
553;18009;BOSFFR21XXX
554;18020;BNPCFR21XXX
555;18025;CEPAFRPP802
556;18029;CETEFRP1XXX
557;18040;BATFFR21XXX
558;18043;TUPFFRP1XXX
559;18050;CCMLFR21XXX
560;18059;MIDLFRPXXXX
561;18073;FSANFRP1XXX
562;18079;SOGEGPGP
563;18089;AUDIFRPPXXX
564;18106;AGRIFRPP881
565;18129;ISAEFRPPXXX
566;18153;CPONFRP1XXX
567;18160;CCMYFR21XXX
568;18169;CRESFRPPXXX
569;18173;FRNNFRP1XXX
570;18179;DRGFFRP1XXX
571;18180;ZARCFR21XXX
572;18189;CGCPFRP1XXX
573;18190;SFGFFRCPXXX
574;18206;AGRIFRPP882
575;18209;EXFNFRP1XXX
576;18230;SOFRFRP1XXX
577;18280;UUFEFRP1
578;18289;HABBFRPPXXX
579;18306;AGRIFRPP883
580;18315;CEPAFRPP831
581;18319;SOGENCNN
582;18329;SBINFRPPXXX
583;18343;MAKTFRP1XXX
584;18353;EUCKFRP1XXX
585;18359;CPMEFRPPXXX
586;18370;GPBAFRPPXXX
587;18429;NONNFRP1XXX
588;18439;NSFCFR21XXX
589;18450;CMROFR21XXX
590;18470;CCMTFR21XXX
591;18473;EXANFRPPSTO
592;18520;BFCMFR21XXX
593;18529;MHCBFRPPXXX
594;18530;NSNCFR21XXX
595;18540;COSAFR21XXX
596;18553;CARXFRP1XXX
597;18569;BMISFRPPXXX
598;18589;CFDIFRP1XXX
599;18590;BUFIFR21XXX
600;18609;CCIFFRPPXXX
601;18610;COLVFRP1XXX
602;18629;BLICFRPXXXX
603;18640;FNNAFRP1XXX
604;18650;SOFSFR21XXX
605;18660;CFLCFRP1XXX
606;18669;RCBPFRPPXXX
607;18689;FRAFFRPPXXX
608;18706;AGRIFRPP887
609;18707;CCBPFRPPVER
610;18709;CIIFFRP1XXX
611;18715;CEPAFRPP871
612;18719;BFCORERX
613;18729;BFECGPGX
614;18730;OCLNNCN1XXX
615;18739;ABNAFRPPXXX
616;18750;MONCMCM1XXX
617;18759;EFGBMCMC
618;18769;BKCHFRPPXXX
619;18789;ICBCFRPPXXX
620;18809;SOFAFRP1XXX
621;18829;CMBRFR2BCME
622;18839;BFTRFRPPXXX
623;18869;FEMUFR21XXX
624;18879;MOFIFR21XXX
625;18889;BCRTFRPPXXX
626;18890;SMFSMQM1XXX
627;18900;SGFOGPG1XXX
628;18919;NATXFRPPBPS
